SEQUENCE_GENBANK_STRAIN,SEQUENCE_GENBANK_ACCESSION
USA/WA-CDC-UW21101106572/2021,OK640502.1
USA/WA-CDC-UW22071188642/2022,OP108010.1
USA/WA-S87/2020,MT627225.1
USA/WA-CDC-UW22061347691/2022,ON894044.1
USA/WA-PHL-008346/2021,PP630785.1
USA/WA-CDC-UW21121659876/2021,OM131806.1
USA/WA-CDC-LC0538121/2022,OM789980.1
USA/WA-CDC-UW23021546221/2023,OQ589198.1
USA/WA-CDC-FG-190017/2021,OL897712.1
USA/WA-CDC-UW21090218455/2021,OK265004.1
USA/WA-PHL-002576/2021,PP628366.1
USA/WA-S9213/2021,MZ513688.1
USA/WA-S10241/2021,MZ770068.1
USA/WA-CDC-LC0526078/2022,OM693798.1
USA/WA-CDC-UW23011734439/2023,OQ352924.1
USA/WA-PHL-006768/2021,PP630266.1
USA/WA-CDC-LC0064326/2021,MZ341153.1
USA/WA-CDC-QDX31047128/2021,OL681471.1
USA/WA-CDC-QDX35869392/2022,ON336595.1
USA/WA-S9183/2021,MZ513658.1
USA/WA-UW-21081236962/2021,OK229823.1
USA/WA-S15947/2021,OM296661.1
USA/WA-CDC-UW21123070594/2021,OM269408.1
USA/WA-PHL-027141/2022,OQ781992.1
USA/WA-S20561/2022,ON794945.1
USA/WA-S13470/2021,OL373671.1
USA/WA-CDC-LC0723768/2022,ON896920.1
USA/WA-CDC-UW23030680195/2023,OQ619367.1
USA/WA-PHL-007270/2021,PQ172781.1
USA/WA-UW-22041850259/2022,ON548607.1
USA/WA-CDC-LC0852433/2022,OP350776.1
USA/WA-UW-22042161023/2022,ON626867.1
USA/WA-CDC-LC0659199/2022,ON658092.1
USA/WA-S1292/2020,MT821573.1
USA/WA-PHL-005339/2021,PP629607.1
USA/WA-CDC-UW21071051560/2021,MZ688140.1
USA/WA-UW-24010388297/2024,PP218459.1
USA/WA-PHL-014440/2022,PQ176722.1
USA/WA-CDC-LC0468214/2022,OM359844.1
USA/WA-CDC-LC0897201/2022,OP657692.1
USA/WA-UW-22072490931/2022,OP243109.1
USA/WA-CDC-UW21123105756/2021,OM288873.1
USA/WA-UW-21081286568/2021,OK229844.1
USA/WA-CDC-LC0983103/2022,OQ257577.1
USA/WA-CDC-UW22052390178/2022,ON688958.1
USA/WA-UW-22081112528/2022,OP363391.1
USA/WA-PHL-014394/2022,PQ176684.1
USA/WA-UW-23100356836/2023,OR707093.1
USA/WA-CDC-UW22022044580/2022,OM956614.1
USA/WA-UW-65863/2021,MZ151667.1
USA/WA-UW-21051018221/2021,MZ328950.1
USA/WA-UW-21102936791/2021,OL606961.1
USA/WA-CDC-UW22053183190/2022,ON738600.1
USA/WA-UW-23123011571/2023,PP218454.1
USA/WA-CDC-LC0349163/2021,OL396341.1
USA/WA-CDC-UW21062543377/2021,MZ532290.1
USA/WA-PHL-005743/2021,PQ172125.1
USA/WA-S14960/2021,OL740795.1
USA/WA-UW-23021048430/2023,OQ503872.1
USA/WA-S644/2020,MT628059.1
USA/WA-S24638/2023,PP319559.1
USA/WA-S480/2020,MT632905.1
USA/WA-PHL-018393/2022,OQ755186.1
USA/WA-PHL-025485/2022,PP787045.1
USA/WA-CDC-UW22011039289/2022,OM442180.1
USA/WA-UW-21102927685/2021,OL606989.1
USA/WA-UW-22110757789/2022,OP939444.1
USA/WA-PHL-013980/2022,PQ176296.1
USA/WA-UW-21122946361/2021,OM510156.1
USA/WA-CDC-UW22022289544/2022,OM956730.1
USA/WA-CDC-UW22070598447/2022,OP036243.1
USA/WA-CDC-UW21081807855/2021,OK057959.1
USA/WA-CDC-UW22030743355/2022,ON056167.1
USA/WA-S8721/2021,MZ461223.1
USA/WA-UW-22040207238/2022,ON381061.1
USA/WA-S12387/2021,OK546437.1
USA/WA-PHL-014527/2022,PQ176804.1
USA/WA-UW-22080247492/2022,OP348357.1
USA/WA-CDC-LC0989416/2023,OQ294474.1
USA/WA-CDC-LC1028277/2023,OQ681503.1
USA/WA-S11690/2021,OK335429.1
USA/WA-S20794/2022,ON810230.1
USA/WA-UW-22062119440/2022,ON987141.1
USA/WA-CDC-UW21090852512/2021,OK301378.1
USA/WA-CDC-LC1027188/2023,OQ660635.1
USA/WA-CDC-LC0563103/2022,ON049055.1
USA/WA-PHL-031454/2022,PQ403730.1
USA/WA-CDC-UW21091058224/2021,OK399805.1
USA/WA-UW-21080909500/2021,OK216858.1
USA/WA-CDC-UW21110725046/2021,OL597395.1
USA/WA-CDC-UW21050739083/2021,MZ269737.1
USA/WA-UW-21042030899/2021,MZ172269.1
USA/WA-CDC-UW21090765092/2021,OK399590.1
USA/WA-PHL-004459/2021,PQ171544.1
USA/WA-PHL-021928/2022,PP477938.1
USA/WA-CDC-UW22092755856/2022,OP646757.1
USA/WA-S4005/2021,MW555843.2
USA/WA-CDC-UW22051752928/2022,ON691682.1
USA/WA-CDC-UW21080203123/2021,MZ882576.1
USA/WA-CDC-QDX38832475/2022,OP116196.1
USA/WA-PHL-023961/2022,PQ370702.1
USA/WA-UW-22100179257/2022,OP678946.1
USA/WA-PHL-017561/2022,PQ370210.1
USA/WA-CDC-LC0658370/2022,ON656467.1
USA/WA-PHL-014503/2022,PQ176780.1
USA/WA-S2529/2020,MT831568.1
USA/WA-UW-22061609087/2022,ON891567.1
USA/WA-CDC-QDX26446395/2021,MZ590984.1
USA/WA-PHL-006197/2021,PQ172281.1
USA/WA-S21280/2022,ON981690.1
USA/WA-UW-23022196033/2023,OQ567903.1
USA/WA-S15721/2021,OM003937.1
USA/WA-PHL-005703/2021,PQ172089.1
USA/WA-S15901/2021,OM296742.1
USA/WA-CDC-QDX34992992/2022,ON117949.1
USA/WA-PHL-013927/2022,PQ176249.1
USA/WA-PHL-029598/2022,PQ387425.1
USA/WA-UW-2021041313273/2021,MZ240449.1
USA/WA-PHL-029134/2022,PQ387321.1
USA/WA-UW-68080/2021,MZ232149.1
USA/WA-CDC-QDX46230141/2023,OQ431522.1
USA/WA-CDC-LC0252519/2021,OK203188.1
USA/WA-PHL-000218/2021,PP697030.1
USA/WA-UW-21092503924/2021,OK557035.1
USA/WA-PHL-028300/2022,PQ387157.1
USA/WA-CDC-UW21122864618/2021,OM232720.1
USA/WA-CDC-UW22090609926/2022,OP493489.1
USA/WA-CDC-VSX-A240878/2023,OR722132.1
USA/WA-UW-22051005482/2022,ON627150.1
USA/WA-S21322/2022,OP252686.1
USA/WA-S14755/2021,OL740567.1
USA/WA-S2729/2020,MT947573.1
USA/WA-CDC-UW21123170147/2021,OM341791.1
USA/WA-UW-22082061919/2022,OP457802.1
USA/WA-PHL-013777/2022,OQ876580.1
USA/WA-S18575/2022,OM886637.1
USA/WA-S4272/2021,MW591312.2
USA/WA-PHL-019538/2022,OQ720920.1
USA/WA-S3368/2020,MW494000.2
USA/WA-PHL-017700/2022,OQ917857.1
USA/WA-UW-60662/2021,MW879627.1
USA/WA-CDC-FG-172944/2021,OL711123.1
USA/WA-CDC-UW23011830709/2023,OQ352979.1
USA/WA-CDC-UW22090385272/2022,OP493366.1
USA/WA-PHL-032345/2023,PQ372336.1
USA/WA-S5624/2021,MW873428.1
USA/WA-CDC-UW22013065303/2022,OM666820.1
USA/WA-PHL-025718/2022,PP787260.1
USA/WA-PHL-028973/2020,PQ413679.1
USA/WA-UW-22052499429/2022,ON711424.1
USA/WA-CDC-LC0680809/2022,ON770680.1
USA/WA-UW-22040233864/2022,ON381066.1
USA/WA-CDC-LC1088223/2024,PP189175.1
USA/WA-UW-23020794550/2023,OQ503685.1
USA/WA-CDC-UW21080257655/2021,MZ967732.1
USA/WA-CDC-UW21051093432/2021,MZ293552.1
USA/WA-CDC-LC0152800/2021,MZ866543.1
USA/WA-CDC-LC0933645/2022,OP883202.1
USA/WA-UW-2021041313711/2021,MZ233278.1
USA/WA-CDC-UW22031634166/2022,ON090816.1
USA/WA-UW-22082361622/2022,OP443615.1
USA/WA-CDC-LC0778473/2022,OP063462.1
USA/WA-UW-61924/2021,MZ236133.1
USA/WA-UW-22030935783/2022,ON140262.1
USA/WA-CDC-LC1061235/2023,OR608110.1
USA/WA-CDC-UW21121193797/2021,OL914373.1
USA/WA-CDC-UW22062282823/2022,ON982674.1
USA/WA-PHL-023970/2022,PQ370708.1
USA/WA-CDC-UW21071507790/2021,MZ729328.1
USA/WA-S9821/2021,MZ768262.1
USA/WA-UW-21081267377/2021,OK229820.1
USA/WA-UW-22060196020/2022,ON740872.1
USA/WA-PHL-032176/2023,OQ836090.1
USA/WA-CDC-UW22010893036/2022,OM442118.1
USA/WA-UW-22051196441/2022,ON678425.1
USA/WA-UW-22051264921/2022,ON626906.1
USA/WA-CDC-LC0079770/2021,MZ531595.1
USA/WA-S9192/2021,MZ513667.1
USA/WA-UW-21122112288/2021,OM296535.1
USA/WA-CDC-UW23050195619/2023,OQ997263.1
USA/WA-S16954/2022,OM457892.1
USA/WA-UW-22092053772/2022,OP601883.1
USA/WA-UW-22051137863/2022,ON626897.1
USA/WA-PHL-020592/2022,OQ989970.1
USA/WA-S11687/2021,OK335426.1
USA/WA-PHL-001172/2021,PP700988.1
USA/WA-PHL-013921/2022,PQ176245.1
USA/WA-CDC-UW22081584642/2022,OP376204.1
USA/WA-CDC-LC0031893/2021,MW902025.1
USA/WA-CDC-4482148-001/2021,OM687748.1
USA/WA-UW-23050399322/2023,OR213158.1
USA/WA-UW-22090649013/2022,OP597445.1
USA/WA-CDC-QDX35483829/2022,ON255305.1
USA/WA-S6260/2020,MZ044962.1
USA/WA-PHL-006793/2021,PP630290.1
USA/WA-UW-21092990375/2021,OK556991.1
USA/WA-CDC-UW24022641541/2024,PP439690.1
USA/WA-CDC-UW22111015319/2022,OP872897.1
USA/WA-PHL-004612/2021,PQ171615.1
USA/WA-UW-21100512783/2021,OK635909.1
USA/WA-CDC-UW22091378257/2022,OP548017.1
USA/WA-CDC-UW22020969151/2022,OM900668.1
USA/WA-S3396/2020,MW494027.2
USA/WA-CDC-UW22061315653/2022,ON894158.1
USA/WA-S17159/2022,OM457270.1
USA/WA-CDC-LC0687503/2022,ON769765.1
USA/WA-UW-22072097240/2022,OP209414.1
USA/WA-UW-1774/2020,MT326092.1
USA/WA-CDC-UW22080193987/2022,OP269896.1
USA/WA-UW-21071201694/2021,MZ711496.1
USA/WA-S19375/2021,ON207390.1
USA/WA-CDC-UW21101175627/2021,OK640590.1
USA/WA-CDC-UW22062072657/2022,ON956124.1
USA/WA-CDC-UW21081487637/2021,OK068403.1
USA/WA-CDC-LC0521062/2022,OM696382.1
USA/WA-CDC-UW22110512434/2022,OP861047.1
USA/WA-UW-62806/2021,MZ235692.1
USA/WA-PHL-028948/2020,PQ413658.1
USA/WA-CDC-UW21061594194/2021,MZ478004.1
USA/WA-S5742/2021,MW931992.1
USA/WA-S3645/2021,MW542164.2
USA/WA-PHL-021946/2022,PP477947.1
USA/WA-CDC-UW22022570706/2022,ON018386.1
USA/WA-PHL-010165/2022,PQ174305.1
USA/WA-UW-22052282771/2022,ON678521.1
USA/WA-UW-21080265563/2021,MZ893362.1
USA/WA-UW-22021749367/2022,ON140516.1
USA/WA-S7724/2021,MZ368020.1
USA/WA-CDC-LC0773641/2022,OP048437.1
USA/WA-UW-24010563946/2024,PP218475.1
USA/WA-CDC-UW21100239239/2021,OK534347.1
USA/WA-CDC-LC0714632/2022,ON884798.1
USA/WA-PHL-015397/2022,OQ873746.1
USA/WA-CDC-LC0804266/2022,OP166592.1
USA/WA-CDC-UW22121294693/2022,OQ130916.1
USA/WA-S8128/2021,MZ388013.1
USA/WA-CDC-UW22022867655/2022,ON026272.1
USA/WA-PHL-030095/2020,PQ414277.1
USA/WA-PHL-004861/2021,PP629371.1
USA/WA-UW-21052765890/2021,MZ433761.1
USA/WA-S494/2020,MT632920.1
USA/WA-CDC-UW22103083855/2022,OP848354.1
USA/WA-UW-21042318731/2021,MZ171691.1
USA/WA-CDC-UW21052481027/2021,MZ385940.1
USA/WA-PHL-025483/2022,PP787043.1
USA/WA-PHL-015652/2022,OQ873970.1
USA/WA-CDC-QDX40409679/2022,OP341970.1
USA/WA-PHL-019047/2022,OQ785561.1
USA/WA-UW-21100974367/2021,OK635889.1
USA/WA-PHL-029727/2022,PP787627.1
USA/WA-CDC-UW21121069491/2021,OL914229.1
USA/WA-CDC-LC0739648/2022,ON947977.1
USA/WA-PHL-007570/2021,PQ173036.1
USA/WA-CDC-FG-173426/2021,OL710807.1
USA/WA-CDC-UW21060414341/2021,MZ415189.1
USA/WA-S9808/2021,MZ768250.1
USA/WA-CDC-UW22021037356/2022,OM900732.1
USA/WA-PHL-026346/2022,OQ779725.1
USA/WA-PHL-032493/2023,PQ372466.1
USA/WA-CDC-LC0865866/2022,OP401887.1
USA/WA-CDC-LC0580551/2022,ON350170.1
USA/WA-PHL-019992/2022,OQ986467.1
USA/WA-S4538/2021,MW647943.2
USA/WA-UW-21042474348/2021,MZ171764.1
USA/WA-CDC-UW23050736505/2023,OQ997327.1
USA/WA-PHL-022178/2022,PP478276.1
USA/WA-PHL-017675/2022,OQ917838.1
USA/WA-S6835/2021,MZ127323.1
USA/WA-UW-21111624824/2021,OL965176.1
USA/WA-PHL-029248/2020,PQ413810.1
USA/WA-CDC-LC0675689/2022,ON726461.1
USA/WA-UW-22053192486/2022,ON714312.1
USA/WA-CDC-LC0060018/2021,MZ306622.1
USA/WA-CDC-UW22011234742/2022,OM527289.1
USA/WA-S224/2020,MT632539.1
USA/WA-CDC-UW22022837162/2022,ON026236.1
USA/WA-PHL-029998/2020,PQ414185.1
USA/WA-S13168/2021,OL333779.1
USA/WA-PHL-020499/2022,OQ986537.1
USA/WA-CDC-UW22081593777/2022,OP376195.1
USA/WA-CDC-UW22030515664/2022,ON026456.1
USA/WA-CDC-QDX36157857/2022,ON451981.1
USA/WA-S15953/2021,OM296763.1
USA/WA-CDC-LC0396573/2021,OL835788.1
USA/WA-S2951/2020,MW474131.1
USA/WA-CDC-UW21121839753/2021,OM131971.1
USA/WA-UW-22091260932/2022,OP592294.1
USA/WA-S16468/2021,OM363848.1
USA/WA-S1474/2020,MT821790.1
USA/WA-S15132/2021,OL740958.1
USA/WA-S9128/2021,MZ469216.1
USA/WA-CDC-UW22061598393/2022,ON894241.1
USA/WA-UW-22060929398/2022,ON969045.1
USA/WA-CDC-LC0740541/2022,ON948931.1
USA/WA-CDC-LC0602524/2022,ON467010.1
USA/WA-UW-22032990256/2022,ON249267.1
USA/WA-UW-22081756756/2022,OP457704.1
USA/WA-CDC-UW21081383077/2021,OK068453.1
USA/WA-CDC-UW22120466066/2022,OQ080142.1
USA/WA-CDC-QDX84335967/2023,OR655433.1
USA/WA-PHL-032581/2023,PQ372552.1
USA/WA-CDC-UW22032112949/2022,ON140855.1
USA/WA-S1172/2020,MT642147.1
USA/WA-CDC-UW23010906847/2023,OQ306695.1
USA/WA-UW-21042090316/2021,MZ172288.1
USA/WA-UW-21080499606/2021,MZ893426.1
USA/WA-PHL-003860/2021,PQ171079.1
USA/WA-CDC-UW21070802871/2021,MZ688238.1
USA/WA-CDC-QDX33118379/2022,OM585224.1
USA/WA-CDC-LC0778984/2022,OP064513.1
USA/WA-UW-21081219911/2021,OK229798.1
USA/WA-S1911/2020,MT834039.1
USA/WA-UW-21080280402/2021,OK178720.1
USA/WA-UW-21042115910/2021,MZ171860.1
USA/WA-CDC-UW22060874903/2022,ON827259.1
USA/WA-PHL-030697/2022,PP787991.1
USA/WA-CDC-UW21072979125/2021,MZ788591.1
USA/WA-UW-21081063644/2021,OK229945.1
USA/WA-CDC-UW22070703809/2022,OP036423.1
USA/WA-UW-22060917906/2022,ON969059.1
USA/WA-PHL-015477/2022,OQ873811.1
USA/WA-PHL-030268/2022,PP787778.1
USA/WA-CDC-UW21111011989/2021,OL639962.1
USA/WA-CDC-UW22092602238/2022,OP646702.1
USA/WA-CDC-LC0445952/2021,OM176298.1
USA/WA-UW-22090984793/2022,OP592355.1
USA/WA-CDC-UW21080273952/2021,MZ882593.1
USA/WA-CDC-UW21081963831/2021,OK096013.1
USA/WA-UW-21090699214/2021,OK334361.1
USA/WA-S3906/2021,MW549309.2
USA/WA-CDC-LC0475630/2022,OM343761.1
USA/WA-S20603/2022,ON794983.1
USA/WA-PHL-015584/2022,OQ873909.1
USA/WA-CDC-UW23032252817/2023,OQ833324.1
USA/WA-CDC-UW22010800315/2022,OM404350.1
USA/WA-PHL-030074/2020,PQ414257.1
USA/WA-CDC-LC0944290/2022,OP992080.1
USA/WA-CDC-UW22070688329/2022,OP036350.1
USA/WA-UW-22070646608/2022,OP034712.1
USA/WA-CDC-LC0213304/2021,OK116102.1
USA/WA-PHL-033644/2021,PQ414592.1
USA/WA-CDC-UW22031885971/2022,ON090944.1
USA/WA-PHL-021869/2022,PP477892.1
USA/WA-CDC-LC0786393/2022,OP109589.1
USA/WA-UW310/2020,MT263392.1
USA/WA-CDC-UW21053166570/2021,MZ386099.1
USA/WA-CDC-UW21120986797/2021,OL914205.1
USA/WA-UW-22112966373/2022,OQ070097.1
USA/WA-S14995/2021,OL740828.1
USA/WA-PHL-032157/2022,OQ836071.1
USA/WA-PHL-000845/2021,PP697442.1
USA/WA-CDC-QDX33873834/2022,OM894117.1
USA/WA-PHL-004688/2021,PP629208.1
USA/WA-CDC-LC0994910/2023,OQ353221.1
USA/WA-CDC-UW22121337438/2022,OQ130981.1
USA/WA-S19803/2022,ON521340.1
USA/WA-PHL-014922/2022,PQ400372.1
USA/WA-CDC-UW22071849293/2022,OP164932.1
USA/WA-UW-21072774470/2021,MZ970992.1
USA/WA-CDC-UW21122415242/2021,OM188637.1
USA/WA-PHL-035125/2023,PQ385933.1
USA/WA-PHL-024232/2022,PQ370938.1
USA/WA-CDC-UW22121378233/2022,OQ130934.1
USA/WA-UW-22061614354/2022,ON891462.1
USA/WA-UW293/2020,MT259283.1
USA/WA-PHL-001804/2021,PP627951.1
USA/WA-S8635/2021,MZ461140.1
USA/WA-S22865/2023,OQ738415.1
USA/WA-CDC-UW21080730688/2021,MZ895958.1
USA/WA-CDC-UW21101003999/2021,OK640428.1
USA/WA-CDC-UW21083042366/2021,OK158933.1
USA/WA-CDC-UW21092523166/2021,OK447955.1
USA/WA-PHL-005759/2021,PQ172140.1
USA/WA-PHL-003923/2021,PQ171140.1
USA/WA-CDC-UW21050406378/2021,MZ257739.1
USA/WA-CDC-UW21122430597/2021,OM188521.1
USA/WA-CDC-ASC210682963/2022,OM563807.1
USA/WA-UW-22072898565/2022,OP348489.1
USA/WA-CDC-UW22030101997/2022,ON018610.1
USA/WA-CDC-UW21110256541/2021,OL597331.1
USA/WA-PHL-030899/2022,PP788033.1
USA/WA-CDC-UW22122798311/2022,OQ204751.1
USA/WA-PHL-027208/2022,OQ782037.1
USA/WA-CDC-LC1047355/2023,OR378838.1
USA/WA-PHL-035172/2024,PQ143040.1
USA/WA-CDC-QDX30129760/2021,OL350671.1
USA/WA-UW-23042324298/2023,OQ940285.1
USA/WA-S4590/2021,MW648093.2
USA/WA-CDC-LC0994416/2023,OQ353368.1
USA/WA-PHL-004035/2021,PQ171246.1
USA/WA-CDC-QDX26765273/2021,OK251350.1
USA/WA-CDC-LC0704645/2022,ON823710.1
USA/WA-CDC-FG-072351/2021,MZ883779.1
USA/WA-CDC-UW21122873680/2021,OM232730.1
USA/WA-CDC-UW21073077406/2021,MZ967602.1
USA/WA-CDC-LC0451411/2021,OM226575.1
USA/WA-S14828/2021,OL740640.1
USA/WA-UW-22062145215/2022,ON987010.1
USA/WA-UW-22041374364/2022,ON412278.1
USA/WA-CDC-LC0489184/2022,OM431626.1
USA/WA-UW-22041496333/2022,ON627210.1
USA/WA-CDC-FG-074520/2021,MZ878111.1
USA/WA-CDC-UW23020432413/2023,OQ439716.1
USA/WA-PHL-012607/2022,PQ175612.1
USA/WA-CDC-UW21050317291/2021,OK189273.1
USA/WA-CDC-UW22060820813/2022,ON827265.1
USA/WA-CDC-FG-184393/2021,OL823354.1
USA/WA-PHL-006504/2021,PP630091.1
USA/WA-CDC-LC0313357/2021,OK516194.1
USA/WA-S1634/2020,MT834341.1
USA/WA-UW-21072101623/2021,MZ815182.1
USA/WA-UW-21072692066/2021,MZ970884.1
USA/WA-CDC-QDX46877619/2023,OQ577457.1
USA/WA-CDC-UW23010689065/2023,OQ271676.1
USA/WA-CDC-UW22032801274/2022,ON305326.1
USA/WA-PHL-011552/2022,PP631751.1
USA/WA-CDC-LC0284701/2021,OK363617.1
USA/WA-S21429/2022,OP252768.1
USA/WA-UW-3816/2020,MT358679.1
USA/WA-PHL-017109/2022,OQ916770.1
USA/WA-UW-22101925200/2022,OP824051.1
USA/WA-CDC-LC0620647/2022,ON544273.1
USA/WA-PHL-009055/2021,PP631122.1
USA/WA-CDC-UW21050625679/2021,MZ269864.1
USA/WA-S2309/2020,MT831738.1
USA/WA-UW-21050676894/2021,MZ328773.1
USA/WA-PHL-030546/2020,PQ414457.1
USA/WA-S3631/2020,MW549721.2
USA/WA-UW-2021040109560/2021,MZ236610.1
USA/WA-PHL-012877/2022,PQ175690.1
USA/WA-UW-22121208877/2022,OQ201812.1
USA/WA-UW-22040708381/2022,ON412220.1
USA/WA-CDC-UW21091045764/2021,OK399892.1
USA/WA-CDC-QDX27713180/2021,MZ944996.1
USA/WA-CDC-UW22062223297/2022,ON956196.1
USA/WA-PHL-030239/2022,PP787757.1
USA/WA-PHL-031929/2022,OQ835999.1
USA/WA-PHL-000966/2021,PP700793.1
USA/WA-UW-23010345306/2023,OQ306121.1
USA/WA-PHL-003701/2021,PP628725.1
USA/WA-S3071/2020,MW474239.1
USA/WA-PHL-000868/2021,PP700706.1
USA/WA-CDC-UW21072086610/2021,OK111692.1
USA/WA-CDC-UW22102364044/2022,OP788282.1
USA/WA-UW-23010957314/2023,OQ306226.1
USA/WA-S13057/2021,OL333669.1
USA/WA-PHL-023786/2022,PQ370597.1
USA/WA-CDC-FG-081941/2021,MZ928870.1
USA/WA-S16013/2021,OM296819.1
USA/WA-PHL-025337/2022,OP597206.1
USA/WA-PHL-002509/2021,PP628300.1
USA/WA-PHL-006382/2021,PQ172455.1
USA/WA-PHL-002853/2021,PQ170474.1
USA/WA-UW-64761/2021,MZ151736.1
USA/WA-CDC-FG-082053/2021,MZ928910.1
USA/WA-CDC-LC0659018/2022,ON658919.1
USA/WA-UW-4414/2020,MT461630.1
USA/WA-UW-21073121903/2021,OK144531.1
USA/WA-CDC-LC0342134/2021,OL330424.1
USA/WA-PHL-021931/2022,PP477940.1
USA/WA-CDC-UW22092121101/2022,OP630289.1
USA/WA-CDC-UW21080145862/2021,MZ882739.1
USA/WA-UW-22090383856/2022,OP535796.1
USA/WA-S18605/2022,OM886665.1
USA/WA-S7529/2021,MZ367847.1
USA/WA-CDC-UW23062286288/2023,OR240995.1
USA/WA-CDC-UW22091181669/2022,OP547971.1
USA/WA-PHL-032501/2022,PQ372474.1
USA/WA-UW-22040799213/2022,ON412612.1
USA/WA-CDC-UW21082645954/2021,OK110969.1
USA/WA-UW-21101167696/2021,OL423156.1
USA/WA-UW-23022180976/2023,OQ568012.1
USA/WA-PHL-006665/2021,PQ172542.1
USA/WA-PHL-031642/2022,PQ403886.1
USA/WA-PHL-003391/2021,PQ170718.1
USA/WA-PHL-000830/2021,PP697427.1
USA/WA-CDC-UW22081661233/2022,OP376238.1
USA/WA-PHL-004666/2021,PQ171663.1
USA/WA-CDC-LC0499875/2022,OM498072.1
USA/WA-UW-21100653342/2021,OK576291.1
USA/WA-CDC-UW21072202419/2021,OK111592.1
USA/WA-CDC-LC0704642/2022,ON823614.1
USA/WA-S15777/2021,OM003978.1
USA/WA-S14853/2021,OL740678.1
USA/WA-UW-22111686069/2022,OP967635.1
USA/WA-CDC-UW21110797770/2021,OL597391.1
USA/WA-CDC-LC0654379/2022,ON702678.1
USA/WA-UW-22100241501/2022,OP824106.1
USA/WA-CDC-UW23032390389/2023,OQ833356.1
USA/WA-UW-21051881248/2021,MZ401580.1
USA/WA-S6800/2021,MZ144578.1
USA/WA-UW-22060998864/2022,ON969024.1
USA/WA-UW347/2020,MT263427.1
USA/WA-UW-22041920227/2022,ON627084.1
USA/WA-CDC-UW21102025634/2021,OL360570.1
USA/WA-CDC-LC0606553/2022,ON498438.1
USA/WA-PHL-003621/2021,PQ170930.1
USA/WA-UW-21122859391/2021,OM295704.1
USA/WA-PHL-030225/2022,PP787749.1
USA/WA-PHL-021044/2022,PQ389545.1
USA/WA-CDC-UW22121350818/2022,OQ130976.1
USA/WA-UW-21080921975/2021,OK174371.1
USA/WA-PHL-026065/2022,PP787409.1
USA/WA-S8039/2021,MZ388325.1
USA/WA-PHL-027683/2022,OQ780163.1
USA/WA-UW-21072362928/2021,OK555492.1
USA/WA-PHL-009578/2021,PP631354.1
USA/WA-S13006/2021,OL333620.1
USA/WA-CDC-LC0984184/2023,OQ258185.1
USA/WA-S17356/2022,OM538576.1
USA/WA-S9199/2021,MZ513674.1
USA/WA-CDC-UW22120520399/2022,OQ028815.1
USA/WA-CDC-UW21121157911/2021,OL914423.1
USA/WA-PHL-003149/2021,PP628566.1
USA/WA-UW-24041223530/2024,PP930367.1
USA/WA-CDC-UW21121320136/2021,OM004443.1
USA/WA-CDC-LC0281767/2021,OK363702.1
USA/WA-CDC-UW23041448929/2023,OQ870979.1
USA/WA-PHL-015572/2022,OQ873898.1
USA/WA-PHL-031235/2022,PP788290.1
USA/WA-CDC-ASC210086501/2021,OK565446.1
USA/WA-PHL-026312/2022,OQ779396.1
USA/WA-CDC-UW22060766431/2022,ON827175.1
USA/WA-PHL-012623/2022,PQ175626.1
USA/WA-CDC-LC0444326/2021,OM174987.1
USA/WA-CDC-UW21120212105/2021,OL825428.1
USA/WA-PHL-029325/2020,PQ413886.1
USA/WA-CDC-LC0252270/2021,OK202888.1
USA/WA-UW-21051097235/2021,MZ328997.1
USA/WA-PHL-029390/2020,PQ413947.1
USA/WA-CDC-UW21081474492/2021,MZ952259.1
USA/WA-CDC-UW21060887990/2021,OK189304.1
USA/WA-CDC-UW22050718985/2022,ON689300.1
USA/WA-UW-23012182825/2023,OQ389819.1
USA/WA-S7877/2021,MZ388172.1
USA/WA-S12220/2021,OK464714.1
USA/WA-UW-2021041315613/2021,MZ233233.1
USA/WA-CDC-UW21120299009/2021,OL884587.1
USA/WA-S11405/2021,OK147353.1
USA/WA-CDC-UW22090290233/2022,OP493256.1
USA/WA-CDC-UW22101789838/2022,OP776593.1
USA/WA-PHL-007166/2021,PQ172679.1
USA/WA-CDC-LC0793700/2022,OP118919.1
USA/WA-CDC-UW21110404907/2021,OL597362.1
USA/WA-PHL-017651/2022,OQ917817.1
USA/WA-UW-21041969895/2021,MZ232522.1
USA/WA-CDC-LC0396501/2021,OL835796.1
USA/WA-CDC-QDX26343986/2021,MZ716641.1
USA/WA-CDC-LC0083844/2021,MZ554662.1
USA/WA-PHL-022535/2022,PP478394.1
USA/WA-CDC-LC1005481/2023,OQ432852.1
USA/WA-UW-21050522587/2021,MZ328731.1
USA/WA-PHL-029999/2020,PQ414186.1
USA/WA-CDC-UW21082738300/2021,OK158885.1
USA/WA-S15625/2021,OM003790.1
USA/WA-CDC-UW23030191683/2023,OQ625970.1
USA/WA-UW-21050452389/2021,MZ278606.1
USA/WA-CDC-UW21120982137/2021,OL914152.1
USA/WA-PHL-032553/2023,PQ372524.1
USA/WA-CDC-UW21070727387/2021,MZ688325.1
USA/WA-CDC-LC0764530/2022,OP015412.1
USA/WA-CDC-LC0765390/2022,OP015859.1
USA/WA-UW-21052746268/2021,MZ433781.1
USA/WA-CDC-UW22022589974/2022,ON018310.1
USA/WA-UW-22090164239/2022,OP678818.1
USA/WA-CDC-UW21122443650/2021,OM188614.1
